yisi,hanzi
occlusion/to clog up/blockage,闭塞(堵塞/阻塞)
to spur/urge on/encourage sb,鞭策(鼓励/勉励)
to weave/knit,编织
border area/border land/frontier,边疆(边境/边界)
boundary,(无限/有限)边界(边境/边疆)
borderfrontier,边境(边疆/边界)
edge,边缘
flat,扁(扁豆/扁担/平坦/扁平/扁圆)
to belittle/degrade,贬低(吹捧)(升级/降级)
derogatory sense/negative connotation,贬义(褒义)
all over(cover the whole area/be found throught),遍布
facilitate,便利
note,便条(备忘录)
easy to/convenient for,便于(容易/方便)
misfortune/unforseen event,变故
changes,变迁(变化)
to rot/go bad/deteriorate,变质(质变/量变)
to speak in defense of,辩护
to explain/justify/provide an explanation/defend oneself,辩解
dialectical,辩证(法)
to distinguish/recognize/identify,辨认(识别/分辨)(二维码/条码)
plait/braid/pigtail,辫子
specimen/sample,标本
sign/mark/symbol,标记(标志/符号)
title/heading/headline,标题
vote/to decide by vote,表决
to declare one's position,表态
to commend/praise,表彰(表扬)
hold back/restrain/choke (breath/尿),憋(憋气)
villa,别墅
unusual/unique,别致(非凡/不凡)
uncomfortable/awkward/difficult,别扭
on the verge of/close to,濒临
hail/hailstone,冰雹
(AB)C,(甲/乙)丙
really is not,并非
parallel/to stand side by side,并列(冠军)
to dial/call,拨(打)
to sow (seeds),播种
wave,波浪(浪头)
great waves,波涛
to exploit/exploitation,剥削
broad and profound,博大精深
exposition (large exhibition),博览会
to fight,搏斗 (动手/打架)
aunt (father's elder brother's wife),伯母(大娘)
weak/frail,薄弱(微弱/软弱)
reckless/regardless of/no matter what,不顾(一切/前后/死活)(无论如何)
worthy of/deserve to be called/prove oneself to be,不愧(惭愧)
unexpectedly,不料(竟然)(意料/预料)
