yisi,hanzi
nanny/babysitter (female servant/maid),保姆(阿姨)(女仆/管家)
conservative (to guard/keep),保守
to defend,保卫(防御)(进攻/攻击)
to take good care of (one's health/skin/car/cat etc),保养(爱护)(保重)
guarantee/ensure,保障(保险)
take care of oneself,保重(保养)
ambition,抱负(理想/愿望/梦想)
revenge,报仇(报复)
remuneration/reward,报酬(工资/薪金)
to repay/pay back,报答
to payback/revenge,报复(报仇)
to call the police,报警
(to apply for) reimbursement,(申请)报销
to erupt/burst(explode),爆发(火山)(爆炸)
to blast/explode,爆炸(爆发)
to expose (secret/photo/scandal),曝光(丑闻)
violence,暴力(和平)
to expose/reveal/lay bare,暴露(曝光)
grief/sorrow,悲哀(伤心/难受)(快乐)
miserable/tragic,悲惨(幸福)
despicable/mean,卑鄙(高尚/崇高)
North Pole/Arctic,北极(浮冰)
passive,被动(主动)
Defendant,被告(原告)
to betray/sellout,背叛
