yisi,hanzi
to secrete/secretion,(内)分泌
clear/distinct/evident,分明 (清楚/清晰/鲜明)
"differences (of opinion, position)",分歧 (矛盾)
to scatter/disperse,分散
to tell/instruct/command,吩咐 (命令/下令)
grave/tomb,坟墓 (墓葬) (埋葬)(陪葬)
fine powder,粉末 (碎末)
pink,粉色
to crush/smash/shatter,粉碎
quantity or amount (eg cooking),分量
anger/angry,愤怒 (生气/发怒/发火/恼火)
storm (stormy sea),风暴 (风浪)
grace/elegance (for men),风度
scenery,风光 (风景/景色) (情景/情况)
atmosphere/general mood,风气 (气氛)
humorous/humor (witty and interesting),风趣 (幽默) (饶有风趣)
local customs and practices,风土人情
distinctive flavor/distinctive style,风味
to seal off/close down (to seal),封闭 (封印/封锁)
feudal/feudalism (lord),封建 (领主)
to seal off,封锁 (封印)(封闭)
ample/well developed/fully rounded,丰满
rich/abundant/plentiful,丰盛
have good harvest,丰收 (歉收)
sharp,锋利 (钝)
(every time...) (encounter sth unpleasant/meet again/meet by chance),逢 (每逢...) (遭逢/重逢/相逢)(遇到/碰到/相见)
to dedicate/devote (contribution),奉献 (贡献)
to reject/overrule/veto,否决
a (married) couple,夫妇 (夫妻)
lady/madam,夫人
"play at (doing things just because they have to, not because they really want to do a great job)",敷衍
width/extent (extent of a rise in prices etc),幅度 (宽度) (涨幅)
to obey (to disobey),服从 (违抗)
be convinced/accept,服气
symbol/mark/sign,符号 (标记/标志) (象征)
welfare/benefits,福利
good fortune/a blessing,福气 (幸福) (晦气) (祝福/诅咒)
captive/hold captive,俘虏
radiation,辐射 (放射)
corrupt,腐败
to decay/rot (rotten),腐烂 (腐败/败坏) (腐朽)
corrosion/to corrode/rot (degrade chemically) (rust),腐蚀 (铁锈)
rotten (to decay/rot),腐朽 (腐烂/腐败/败坏)
to assist/to aid/supplementary (愿神),辅助
to foster/bring up/raise,抚养 (养育/养活)
to gently caress and stroke/to pet/to fondle,抚摸
to look down/to overlook,俯视 (小看) (看不起/藐视/鄙视)
affluent/wealthy,富裕
vice-,副...(副作用/)(副手)(副将)
burden,负担 (包袱)
