yisi,hanzi
learning/academic,学术
since (a prev event),以来
long (tradition/history),悠久
to prolong/extend/delay,延长
director/head,主任(主人)
alone,单独
dealing with,打交道
valuable,宝贵
be equal to,等于
hurry up/quickly,赶快(赶紧)
rule,规则
ruler,尺子
principle/rule,(原/否/规)则
established standard/rules,(守)规矩(规则/规律)
hate,(怨)恨
hate to do sth,舍不得
miss,想念(怀念)
miss/think of,怀念
exchange/swap,交换
exchange/convert,兑换(人民币)
exchange rate,汇率(汇报/汇合)
teaching material,教材
lesson,教训
classic (example/case),经典
classical,古典
(boiling) hot,(滚)烫
boiling water,开水
to browse,浏览
shoot a photo/movie,摄影(机/师/家)
group photo,合影
vivid/lively,生动(活跃)
literature,文学
civilization,文明
summer camp,夏令营
public square/plaza,广场
to celebrate,庆祝(会)(欢庆)
centimeter,厘米
millimeter (centimeter)(meter)(kilometer),毫米 (厘米)(米)(公里)
(hand) fan (flap),(电)扇(子/(扇动/拍打)
equipment,设备(装备)
equipment,器材
equipment,装备
to shoot,射击(发射)
myth,神话
to rise,(上/提)升(级)/(下降-低/落)
to rise (prices/rivers),(上)涨(水/价)
time period,期间
period of time,时刻(时间)(期间)
period/phase,(冰河/短/同)时期
practical/applied (eg science),实用(性/程序)
in advance/beforehand,事先(之前)
tone/manner of speaking,语气
tone (eg Chinese),声调
to practice/carry out,实践(家)
(in)fact (actually),事实(实际)
actually,居然
finger,手指
ring/guard against,戒(指/备)
private/personal,私人
personal,个人
the slightest amount/(not) a bit,丝毫
to reflect on/ponder,思考
on my way/casually,随手(顺便)
synopsis/notes/outline,提纲
group,(集)团(体/结)
group/organization,组(织)
land/territory,土地
land,陆地(大陆)
to back and forth/round trip,往返
to shake hands,握手
department,(体)系(统)
to absorb,吸收(吸取)
details,细节(详情)
(seems like...) (to seem as if) (looks.../appears...),(似乎/好像) (仿佛/...得像个...似的) (显得)
to show/display (monitor),显示(器/屏)(屏幕)
reality,现实
to make a reality,实现
relatively,相对(论)
to consume/consumption,消费(者/品)
to appreciate/enjoy,欣赏
narration/to tell/talk about,叙述
wisdom/knowledge,智慧
to rest,(安)歇(宿)
image/form/figure,形象(形态/形状)
publicity,宣传
to seek/look for,寻找
to shake,摇(头/手)
to tremble/shake,发抖
to throw/shake off/dump (sb),甩(掉/开)
to shake hands,握手
corn/maize,玉米
war(battle/to fight),战争(战斗)
wisdom/knowledge,智慧
knowledge,学问(知识)
to print/printing,印刷(打印机)
transport,运输
to target/be aimed at/against,针对
straight,(一)直(接/播)
to make/manifacture,制作(制造)
as for...,至于...(关于/对于)
heart/center/core,中心
to vibrate/vibration,振动
license/permit,执照
so far/until now,至今
nowadays/now,如今
chairman,主席 (董事长)
to change/transform,转变(变化)
funds/funding/capital,资金
significant/important,重大(主要/重要)
grasp firmly/pay deep attention,抓紧
grasp/sieze/master,掌握
grasp/seize,把握
to decorate,装饰(品)
(natural) resources,资源
initially,最初(初期)
(ever) since...,自从...
to respect,尊敬(尊重)
to comply with/respect (an agreement),遵守
