yisi,hanzi
suffer (beating/scolding/hunger),挨(打/骂/批/饿)(饥饿)
cancer,癌症
love so much that one cannot bear to part with it,爱不释手(喜欢)
(to) love and respect,爱戴(拥护/拥戴)
ambiguous (in love friends or lovers),暧昧(不明)(模糊/渺茫)
peaceful/calm/serene,(安静)安宁(安静/安详)
serene/calm/composed,(安静/安宁)安详
to find a place for/help settle down,安置
(to) hint/suggest secretly,暗示
case/instance/situation (e.g. law/accident/murder case),案件
case/example,案例
(to) massage,按摩
expensive,昂贵
concave-convex/bumps and holes/rugged,凹凸
to boil/stew,熬(夜)(煎熬/熬煎)
secret,奥秘(秘密/隐秘)
a pickpocket (to steal),扒手(扒窃/偷盗/盗窃/偷窃)
scar(form a scar),(伤)疤(结疤)
eagerly look forward to,巴不得
to fawn on,巴结
to pull shoot/seed to help grow (eager for success and make it against the natural rules resulting in bad result),拔苗助长
to oversee/be responsible for overseeing sth to maintain the quality,把关
handle/knob (hold hands),把手
overbearing,霸道(霸王之道 x 王道)
a strike/to go on strike,罢工
pull apart/break open with hands,掰开(掰掰)
break out off/free oneself from(free oneself from wordly worries),摆脱(解脱)
to visit/to pay a visit/call on,拜访(访问)
to wish sb a Happy New Year,拜年
to request to do sth/please,拜托
to ruin/corrupt,败坏(腐败)
speckle/spot,斑点(斑纹)(耀斑)
"to issue/enact (law, decrees etc)",颁布
to issue/award (a passport/cert/medals etc),颁发
version/edition/release,版本
give up halfway,半途而废
(life) partner/mate,(终身)伴侣(伙伴)
to accompany/occur together with,伴随
to play the role,扮演(反面人物)
to kidnap,绑架
role model/example,(好)榜样
pound (weight/money),磅(英磅)
"to shield/cover up [to shield (a miscreant) from punishment, criticism etc / to take sb's side]",包庇(袒护)
(wrapping cloth) burden/load,包袱(负担)
to surround/encircle,包围（围住)(无路可逃)
to pack/to package/wrap,包装(包裹)
saturated (holding as much water as it can),(不)饱和
have seen much of the changes in human life,(一生)饱经沧桑
to keep safe/to have in one's care,保管
 to keep sth confidential/maintain secrecy,保密
nanny/babysitter (female servant/maid),保姆(阿姨)(女仆/管家)
conservative (to guard/keep),保守
to defend,保卫(防御)(进攻/攻击)
to take good care of (one's health/skin/car/cat etc),保养(爱护)(保重)
guarantee/ensure,保障(保险)
take care of oneself,保重(保养)
ambition,抱负(理想/愿望/梦想)
revenge,报仇(报复)
remuneration/reward,报酬(工资/薪金)
to repay/pay back,报答(报偿)(偿还/偿付/归还)
to payback/revenge,报复(报仇)
to call the police,报警
(to apply for) reimbursement,(申请)报销
to erupt/burst(explode),爆发(火山)(爆炸)
to blast/explode,爆炸(爆发)
to expose (secret/photo/scandal),曝光(丑闻)
violence,暴力(和平)
to expose/reveal/lay bare,暴露(曝光)
grief/sorrow,悲哀(伤心/难受)(快乐)
miserable/tragic,悲惨(幸福)
despicable/mean,卑鄙(高尚/崇高)
North Pole/Arctic,北极(浮冰)
passive,被动(主动)
Defendant,被告(原告)
to betray/sellout,背叛
to recite/learn by heart and repeat from memory,背诵(记诵)
backup,(数据/联机/脱机)备份(支援)
memo/memorandum/notes,备忘录(便条)
shell/conch,贝壳 (贝类)
be busy running about,奔波
run quickly (wildly fast),奔驰 (奔跑/奔走/跑步)
instinct,本能 (直觉)
capital asset/funds,本钱 (资金/资本)
oneself,本人(自己/本人/自身)
itself,本身(自身)
ability/skill,本事(本领/能事)
clumsy/awkward,笨拙(愚蠢)
collapse/crumble/fall apart,崩溃(解体)
not (don't mention),甭(甭提/甭管)
to hop/leap/jump,蹦(蹦跳/蹦高)(蹦极)
to burst forth,迸发
to force/compel,逼迫(强逼/强迫/迫使)
nasal mucus/snivel,(擤/流)鼻涕
example/analogy/for instance,比方(比方说/如果)
to compare/liken to/metaphor,比喻(比作/比较)
proportion,比重(比例)
despise/disdain/look down upon,鄙视(轻视)
upper arm (from neck to elbow),(左/右/双)臂(臂膀/臂力)
evil/drawback/ills/disadvantages,弊病(弊端/害处)(好处/益处)
malpractice/abuse/ills,弊端(弊病/害处)(好处/益处)
occlusion/to clog up/blockage,闭塞(堵塞/阻塞)
to spur/urge on/encourage sb,鞭策(鼓励/勉励)
to weave/knit,编织
border area/border land/frontier,边疆(边境/边界)
boundary,(无限/有限)边界(边境/边疆)
borderfrontier,边境(边疆/边界)
edge,边缘
flat,扁(扁豆/扁担/平坦/扁平/扁圆)
to belittle/degrade,贬低(吹捧)(升级/降级)
derogatory sense/negative connotation,贬义(褒义)
all over(cover the whole area/be found throught),遍布
facilitate,便利
note,便条(备忘录)
easy to/convenient for,便于(容易/方便)
misfortune/unforseen event,变故
changes,变迁(变化)
to rot/go bad/deteriorate,变质(质变/量变)
to speak in defense of,辩护
to explain/justify/provide an explanation/defend oneself,辩解
dialectical,辩证(法)
to distinguish/recognize/identify,辨认(识别/分辨)(二维码/条码)
plait/braid/pigtail,辫子
specimen/sample,标本
sign/mark/symbol,标记(标志/符号)
title/heading/headline,标题
vote/to decide by vote,表决
to declare one's position,表态
to commend/praise,表彰(表扬)
hold back/restrain/choke (breath/尿),憋(憋气)
villa,别墅
unusual/unique,别致(非凡/不凡)
uncomfortable/awkward/difficult,别扭
on the verge of/close to,濒临
hail/hailstone,冰雹
(AB)C,(甲/乙)丙
really is not,并非
parallel/to stand side by side,并列(冠军)
to dial/call,拨(打)
to sow (seeds),播种
wave,波浪(浪头)
great waves,波涛
to exploit/exploitation,剥削
broad and profound,博大精深
exposition (large exhibition),博览会
to fight,搏斗 (动手/打架)
aunt (father's elder brother's wife),伯母(大娘)
weak/frail,薄弱(微弱/软弱)
reckless/regardless of/no matter what,不顾(一切/前后/死活)(无论如何)
worthy of/deserve to be called/prove oneself to be,不愧(惭愧)
unexpectedly,不料(竟然)(意料/预料)
unreasonable/outrageous,不像话
to think this thing or person is not worth caring about/to despise,不屑一顾(碎屑/不屑/不顾)
to compensate/compensation (mainly related with mental things),补偿(赔偿)
to remedy,补救(挽救/治疗/疗法)
allowance,补贴
lactation/breast feeding/to nurse,哺乳(瓶/类/动物)
to catch/seize/capture,捕捉
have no choice but to/must,不得已(无奈)
might as well/no harm (in doing it),不妨(无妨)
I dare not (accept the honor)/I don't deserve your praise,不敢当
can not help but/can't help doing sth/can't refrain from,不禁(不由得)
can't bear/can not stand/extremely (overwhelmed),不堪(受不了)(不堪重负)
unimaginable/it is beyond logic and above reason,不可思议
unavoidable,不免
now and then/occasionally,不时(经常/常常)
not hesitate to do sth,不惜
equally matched,不相上下
self-evident/goes without saying,不言而喻
cannot help but,不由得(不禁)
by hook or by crook,不择手段
more than,不止
notice/bulletin/to announce on bulletin,布告
layout,布局(结构)
put in order/arrange/decorate/fix up,布置(安排)
pace/step,步伐
to deploy/deployment (e.g. web applications),部署
part/section/position/place,部位(地位/位置)
competence/talent(competent/talented),才干(才能)(有才干)
wealth/riches,财富(宝藏)
financial affairs (small scale eg company personal etc),财务(部)
financial affairs (govt/large scale),财政
tailor,裁缝(店/师)
referee/to referee,裁判
layoffs/to cut off employees,裁员
to purchase/buy,采购(购买)
to gather/collect,采集
to accept/adopt (pay taxes/dues),采纳(缴纳/纳税)(会费)
lottery ticket,彩票
staff officer/to give advice,参谋
to refer to (another document),参照(参考)
disability/handicapped,残疾(人)
cruel/brutal/ruthless,残酷(残忍)
Residual,残留
cruel/brutal/ruthless,残忍(残酷)
glitter/brilliant/splendid,灿烂
cabin (of a ship/airplane),舱(船舱/机舱/舱室/驾驶舱)
pale,苍白(惨白)
hasty/all of a sudden/hurriedly,仓促
warehouse/storehouse,仓库
to work hard,操劳(劳累)
(to) drill/practice,操练 (练习/演习)
to control/manipulate,操纵(杆)
to work/operate (OS),操作(系统)
noisy,嘈杂
"draft (speech, bill, text etc)",草案(方案)
careless/sloppy/not serious,草率(马虎/含糊)(认真)
(to) plot/scheme/plan (conspire),策划(策动/图谋/谋划)
tactics/strategy (conspiracy),策略 (对策/谋划)
to measure/gauge/determine,测量
lateral side,侧面 (正面/反面)
emerge in endlessly (layers),层出不穷
layer/level,层次(一层)
socket,插座(插头)
difference,差别(区别/差异)
to track down and seize (a criminal suspect etc),查获
to diverge/branch off the road,岔(开/路)
an instant/split second,刹那(瞬间)(那一刹那/刹那间)
surprised/astonished,诧异(惊讶/吃惊)
diesel oil,柴油(汽油)
mix/mingle(support by arm eg to elderly Go Go Squid),(牛奶里)...搀...(搀扶)
greedy/have a craving for,...馋...(馋鬼/贪吃者/贪吃鬼)
to twine/twisting (mushroom),缠绕(围绕/环绕)(蘑菇)
industry (anything produce related),产业(农业/工业/行业)
to expound/elaborate/explain,阐述(说明/解释)
to tremble/shake/shiver,颤抖(发抖/颤动)
prosperity/prosperous,昌盛(发达/繁荣)
to try/attempt,尝试(试试/试验)
to repay/pay back,偿还(偿付/归还)(报答/报偿)
occasion/situation/setting,场合
scene (e.g. in drama or anime etc),场面
location/place,场所
to open wide,敞开
to promote/avocate,倡导(倡议/提倡)
to suggest/proposal,倡议(建议/倡导/提倡)
unblocked/unclogged/free-flowing/move without obstruction,畅通
to sell well/best seller/chart-topping,畅销
to surpass/transcend,超越
paper money,钞票(纸币/硬币/零钱)
dynasty/reign (of a king),朝代
Trend,潮流
to ridicule/laugh at,嘲笑
nest/den/lair/hideout,巢穴(贼巢/贼人/强盗)
to retreat(senryaku-teki tettai),(战略的)撤退
to undo (eg computer)/revoke/withdraw,撤销(重做)(撤回)
to precipitate (solid sediment out of a solution),沉淀
depressed/not happy,沉闷
contemplate/ponder/meditation,沉思(修炼)
heavy/hard (heavy responsibility),沉重(感/打击)(重任)
composed/cool headed/not nervous,沉着(惊慌/慌张)
old-fashioned/obsolete,陈旧(破旧)
