yisi,hanzi
to reply in argument/to defend,答辩
to reply/answer/to reply to (in email header),答复 (回答/回复)
to reach (an agreement)/to accomplish,达成 (协议)(达到)
to wrap/pack/put leftovers in a bag for take-out,打包 (包裹)
to file a lawsuit/to sue,打官司 (诉讼/词讼)
to hit/strike/attack,打击
to fight/ケンカ,打架 (动手/搏斗)
to look sb up and down,打量 (盯着)
to go hunting,打猎 (狩猎/猎人)
to fight a battle/to go to war,打仗 (战斗/作战)
if worst comes to worst,大不了
cabinet minister,大臣
everyone/everybody/you all/we all,大伙(儿) (大家)
wantonly/without restraint,大肆(攻击/破坏)
roughly/approximately/more or less,大体(大致/大约/大概)
main idea/general idea,大意
roughly/approximately/more or less,大致(大体/大约/大概)
gangster/mobster,歹徒
to lead/guide,带领 (带路/领路)(领队)
price/cost,代价
agent/to act on behalf of sb in a responsible position/(computing) proxy (to represent),代理(人)(代表)
to arrest,逮捕(令/证)(搜捕)(捕捉)
to neglect/cold-shoulder (don't neglect your guests),怠慢(简慢)
assure; hypothecate,担保(保证/保障)(保险)
timid/coward/cowardly,胆怯(地)(胆小鬼)
low season/slow business season (mainly 7-9月)(vs 10-12月),淡季 (旺季)
fresh water,淡水(清水)
protein (vitamin),蛋白质 (维他命/维生素)
birthday,诞辰 (生日)
be born,诞生(地)(出生)
on the spot/at the scene,当场 (现场)
at that time/at the beginning/original,当初 (当年)
the present age,当代 (现代)(近代)
face to face/to sb's face/in sb's presence,当面
current/present/today's,当前 (目前)
persons involved/party (to an affair)/client,当事人
top priority job,当务之急
to be elected,当选
political party (communist party),党 (政党/党员)(共产党)
archives,档案(馆)
grade/quality/level,档次
 to go bankrupt/to close down,倒闭 (破产)
missile,导弹 (核导弹)
navigate/navigation,导航(仪)
...-oriented/to be oriented towards,(以...为)导向
to look for trouble/bother sb intentionally,捣乱 (打扰/扰乱)
unhusked rice/コメ,稻谷 (稻米/稻麦)
to steal/pilfer,盗窃 (偷盗/偷窃)(扒窃/扒手)
the gains do not compensate for the losses,得不偿失
competent/effective,得力 (才干)
