yisi,hanzi
to store/reserve,储备(粮/金)(储存)
to preserve/save,保存
to retain,保留
ability/skill,本事(本领/能事)
surface (surface area),表面 (面积)
surface area (floor/land) (surface),面积 (表面)
property,财产 (物业)
infect/contagious,传染 (感染) (消毒)
once upon a time/formerly/previously,从前
"(to urge)(to encourage)(to supervise, urge and help sb to complete a task)",(催促/促使)(鞭策/激励/鼓励/勉励)(督促)
to play/perform (brandish),发挥
range/scope,范围
satire/mock/sarcasm,讽刺
to correct/amend (modify) (reform),改正 (修改) (改革)
pot,(酒/水/茶)壶
impression/thoughts,感想
basic/fundamental,基本
panic,慌张
staunch/strong,坚强
gather/assemble,集合
to pour liquid,浇(水/油)
sprinkle,洒
workout,健身(房)
use sparingly,节约/节省(用)
strong/durable,结实(单弱)
conclusion,结论
combine,结合(组合)
(to rob)(to rescue/save)(to treat an illness),(抢劫)(抢救/挽救/补救)(治疗)
bring relief (pain/crisis),缓解
cautious/careful,谨慎
spirit/mind,精神
to spread,流传 (扩散/扩张)
vague,模糊 (含糊)
beloved,亲爱
despise,轻视 (鄙视)
to think this thing or person is not worth caring about/to despise,不屑一顾(碎屑/不屑/不顾)
trend,潮流
(blooming/in full flower)(be abundant in)(be in trend),(盛开/开花)(盛产)(盛行/流行)
trend,趋势
persuade,劝(说)
persuade/convince,说服
love ardently,热爱
commodity/merchandise,商品
digital,数码
crush into pieces,(粉/破)碎(片)
devastate/wreck/ravage/ruin,摧残 (损害)
to highlight/ give prominence,突出
protect and maintain,维修
quite/fairly,相当
to guide/give direction,指导(员)
to turn (a corner/a curve),拐弯
extensive/widely,广泛
wide/broad,宽(大/广)
large-scale,大型
scale/scope/extent,规模
summarize/induce (logic),归纳(演绎)(回归还/来)
generalize/summarize,概括
not to mention/besides,何况
why should/no need,何必
not necessarily,未必
value,价值
price/cost,代价
part-time (job),兼职(者/工作)
firm/determined,坚决
pay attention to,讲究(随便)
scissors,剪刀 (剪切)
firm/determined,坚决
determined/make up one's mind,决心
pay attention to,讲究(随便)
develop(-ment),开发(区/人员)
to develop/flourishing,发达
approach/get close to,接近(跟踪狂)
hardworking,勤奋
hardworking/diligent,用功(勤奋)
diligently/hardworking,刻苦(学习/努力)
to take turns,轮流(车轮战)
accidental/by chance,偶然
accident,意外
strong/dense/concentrated,浓(厚/郁/茶)(淡)
scenery,风景
spectacle/sight/scene,情景
intense/fierce(violent),强烈(激烈)(暴力/残忍)
color,(富)色彩(颜色)
bright-colored/colorful,鲜艳
to create,创造(者)
to create/produce (creative work),创作
(to create/produce sth creative)(to create/cause/lead to),(创作)(造成/导致/引起)
