term,definition
slanting/lean,(倾)斜
to write/compose,写作
mental/psychological,心理
heart,心脏
to trust,信任
behavior,行为
describe,形容(描写)
circumstances/situation,形势(情况/状况/状态)
form/shape,形状(形态/形成)
lucky,幸运
brother,(老)兄弟
open-minded/humble,虚心
declare/announce,宣布
learning/academic,学术
to inquire,询问
train(-ing),训练
deposit,押金
tooth,牙齿
feast/banquet,宴会
itch/tickle,(发)痒
style,样式(风格)
waist,腰(带)
bite,咬(牙)
night,(今)夜(里/间)
spare time,业余(空闲)
still/as before,依然
once/when (sth happens),一旦
unanimous,一致
repeatedly,一(而)再(而三)
immigrate/immigrant,移民
doubt,疑问(疑念)(信念)
since (a prev event),以来
accident,意外
discuss(-ion),议论
duty/obligation,义务
element/factor,因素
handsome,英俊
nutrition,营养
hard,硬(软)
cope with,应付
application,应用
crowded,拥挤
courage,勇气
hardworking/diligent,用功(勤奋)
favorable/discount,优惠(券/条件)
advantage,优势(劣势)
long (tradition/history),悠久
deep fry(-ied),油炸
favourable/advantageous,有利(不利)
entertain(-ment),娱乐
forecast/predict,预报(预告)
prevent/guard against,预防
circle,圆(柱)
new year's day,元旦
employee,员工
desire/wish,愿望
faint,晕
luck,运气
use/put to use,运用
disaster,灾害
care about,在乎
repeatedly,(一而再)再(而)三
to approve,赞成
too bad,糟糕
to cause,造成
to blame/criticize,责备
narrow,(狭)窄(宽广)
to unfold,展开
grasp/sieze/master,掌握
account,账户
cherish,珍惜
battle formation,阵(容/地/亡)(前线)
open (eyes),睁(眼)
fight/strive for,争取
whole/entire,整个
orderly/neat,整齐(杂乱)
just,正(好)
government,政府
certificate/document,证件
branch (cl),支(持)
check (bank),支票
to guide/give direction,指导(员)
draw up/formulate,制定
manufacture,制造
wisdom/knowledge,智慧
order/sequence,秩序
agent/intermediary,中介
11th to 20th of a month,中旬
thoughtful/considerate,周到
gradually,逐步(逐渐)
bamboo,竹子
to host (tv/radio program),主持(人)
subjective,主观(客观)
theme,主题(题目)
director/head,主任(主人)
grab/capture,抓(住/走)
expert,专家
to concentrate/attentively,专心
to pass on/tell,转告
pretend,装(备/置)
decorate/renovate,装修
condition/status,状况(情况/状态/形势)
run after,追
qualification,资格
information/data,资料
position/posture,姿势
purple,紫(色)
subtitle,字幕
automatic,自动
free,自由
comprehensive,综合
altogether/in total,总共
prime minister,总理
finally/at last,总算
in short/in a word,总之
to form/make up,组成(构成)
nerve/to organize(-ation),组织
composition/write an essay,作文
oh!,哎
to take good care,爱护
to cherish,爱惜(珍惜)
install,安装(装置)
dark,(黑)暗(器)
grasp/seize,把握
pendulum/move to and fro,摆(手/动)
to handle/conduct,办理(手续)
at night/evening,傍晚
to wrap up/parcel,包裹
to include/consist of,包括(包含)
thin,薄(弱)(厚)
 treasured object/baby,宝贝(藏)
keep/maintain,保持
insurance,(人寿/健康)保险
complain,抱怨
report,报道
newspaper (ie company),报社(报纸)
back,背(上/后/叛)
nature/innate character,本质
each other,彼此
after all,毕竟
avoid,避免
edit,编辑(器)(编译器)
on my way/meantime (btw),顺便(问一下)(随手)
punctuation,标点
make clear/known,表明
virus,病毒
to broadcast,(光盘)播放(机)
neck,脖子
not urgent (task)/never mind,不要紧
declare,(宣/公/发/分)布
worried/unpeaceful,不安(安心)
extremely/omg,不得了
not as good as/would better,不如
step,步骤(三)
interview/gather news,采访(者/团)
rainbow,彩虹
to participate,参与(参加)
ashamed,惭愧(内疚)
worry,操心(担心/发愁)
book (cl),(画/图)册
test,测验(成绩)
once/previously,曾经
gap/difference,差距
product,产品
long distance,长途(车/话费)
copy/search and seize,抄(写/家)
super,超级
towards(dynasty),(王)朝(着/代)
fry,炒(米/面)
quarrel,吵架
carriage,(火车)(硬/软卧)车厢
silent/uncommunicative,沉默
to address,称呼
to admit,承认
degree,程度
ingredient/component,成分
result/profit/achievement,成果
achievements,成就
ripe/mature,成熟(幼稚)
to mature/grow,成长
to suffer,吃亏
sooner or later,迟早
pond,池塘
wing,翅膀
charger,充电器
full of,充满
drawer,抽屉
smelly,臭(气)(香气)
to publish,出版
excellent/outstanding,出色
junior/primary,初级(阶段)
spread,传播(流传)
legend,传说(传奇)
window curtains,窗帘
create,创造(者)
vocabulary/list of words,词汇
to resign,辞职
to provoke/irritate,刺激
since then/from now on,从此
be engaged in/handle,从事
promote/boost (idea/cause/health),促进(提倡)
to urge,催(促/眠)
existence,存在
promise,答应
reach/achieve,达到
dealing with,打交道
to sneeze,打喷嚏
to inquire,打听
generous,大方
large-scale,大型
fool,(惊/书)呆(子)
replace/take place of,代替
a loan,(无息)贷款(人)
simple/pure,单纯(粹)
