term,definition
kill,(自/屠)杀(杀手/凶手)
desert,沙漠
silly/fool,傻/蠢(事)(白痴/呆子)
to delete,删除(保存)
kind/kindhearted,善良
(hand) fan (flap),(电)扇(子/(扇动/拍打)
business/trade,商业(商贸vs贸易)(生意)
be fooled,上当
snake,蛇
equipment,设备(装备)
facilities,设施(措施)
to shoot,射击(发射)
(body) figure,身材
myth,神话
to rise,(上/提)升(级)/(下降-低/落)
to produce (productivity),生产(力)
tone (eg Chinese),声调
rope/cord,绳子
to leave out/an omission,省略
victory,胜利
to lose (obtain),失去(获得)
to lose job/unemployment,失业
moist/damp,湿润(潮湿/潮润)
jet lag/time difference,时差
period of time,时刻(时间)(期间)
period/phase,(冰河/短/同)时期
the truth,实话(真话)
to practice/carry out,实践(家)
to make a reality,实现
practical/applied (eg science),实用(性/程序)
food,食物(链/中毒)
soldiers,士兵(兵士/战士)(军队/軍人)
...seems as if...,(...得/好)像...似的
(in)fact (actually),事实(实际)
in advance/beforehand,事先(之前)
harvest/to reap/gain,收获(期)
glove,手套
finger,手指
vegetables,蔬菜
comfortable,舒适
comb,梳子
belong to,属于
to count,数(字/量/据)
to throw/shake off/dump (sb),甩(掉/开)
maybe,说不定
to tear,撕(下/裂/开/碎)
the slightest amount/(not) a bit,丝毫
to reflect on/ponder,思考
private/personal,私人
to search,搜索(引擎)
dormitory,宿舍
at any time,随时
on my way/casually,随手(顺便)
to shorten,缩短
place,所
Mrs./Married woman,太太
to negotiate(-ion),谈判(讨价还价)
frank,坦率
(boiling) hot,(滚)烫
peach,桃
to escape/evade,逃避
special,特殊(特别)
features,特征
to love dearly,疼爱
synopsis/notes/outline,提纲
to question/query,提问(问问)
learn from experience,体会(体验)(经验/经历)
to embody/incarnate/reflect,体现
naughty/mischievous,调皮(淘气/顽皮)
(to) challenge,挑战
suffering/pain(-ful),痛苦
to throw/put into (input),投入(品)
transparent,透明(度)
land/territory,土地
to spit/vomit,(呕)吐
group,(集)团(体/结)
to extend/spread/popularize,推广
do less well than before/backward step,退步
askew/crooked,歪(路/道/主意)(正)
diplomacy/foreign affairs,外交
perfect/perfection,完美(良好)
perfect/to refine,完善
prince,王子(皇子)
to back and forth/round trip,往返
network,网络(掉线/在线/上线/下线/战线)
to harm/harmful/endanger,危害
smile,微笑
to violate,违反
scarf,围巾
only,唯一
great (worthy of greatest admiration),伟大
appetite,胃口
position/location,(地理)位置(地位)
future,未来(将来)
warm,温暖
to smell/sniff,(新)闻(名)
file/document,文件
civilization,文明
script/writing/character,文字
kiss,(亲/接/深)吻
to shake hands,握手
house/room,屋子(房间/房室)
helpless/have no choice,无奈(无可奈何)(无奈何)
doesn't matter,无所谓
martial art,武术
fog/mist,(毒)雾(气)
physics,物理(学)
