term,definition
mother's brother,舅舅
tangerine (orange),桔子(橙子)
possess/have,具备
huge/very large,巨大
finals,(初/复/决)赛
absolutely,绝对
military,军事
open (to public),开放
boiling water,开水
cut down,砍(掉/头)
look down upon,看不起
clear/evident,可见
scary,可怕
gram,(千)克
objective/impartial,客观
control,控制
flavor/taste/preference,口味
boast/praise,夸(奖/张)
expand/enlarge,扩大
pepper/chilli,辣椒
rotten,烂
(physical) labour,劳动(者)
boss,老板
mouse,老鼠
grandma (m),姥姥
theory,理论
reason,理由
immediately,立刻
power,力量
interest (on a loan),利息
make use of/take advantage of,利用
hurriedly/at once,连忙
join/alliance,联合
amazing,了不起
train,列车(长)
temporary,临时/暂时
flexible/nimble,灵活(迟钝)
domain/field,领域
to spread,流传
to browse,浏览
dragon,龙
leak(loophole),漏(洞)
land,陆地(大陆)
accept/admit/hire,录取
paper/thesis,论文
fall behind,落后
scold,骂
microphone,麦克风
satisfy,满足
adventure,冒险
eyebrow,眉毛
fine Arts,美术
secret,秘密
to face,面对
to face,面临
slim/graceful,苗条
to make clear/explicit,明确
clear/obvious,明显
nameplate,名牌
historical place,名胜古迹
order/command,命令
feel/touch,摸
vague,模糊
motorcycle,摩托车
some,某(个/日/人/处)
target/goal,目标
catalog,目录
wood,木头
even if,哪怕
hard to avoid,难免(避免)
brains,脑袋
internal medicine,内科
tender/soft/delicate,嫩(老)
capable/competent,能干
energy,能源
decade,年代(世纪)
age,年纪(年龄)
would rather,宁可
jeans,牛仔裤
village,农村
agriculture,农业(民/田)
lady/madam,女士
send/dispatch,派出
compensate for,赔偿
cultivate/foster,培养
coordinate/compatible with,配合(匹配)
drape over,披肩
one-sided,片面(全面)
pinyin,拼音
average/evenly,平均
ordinary/usual,平常
square2,平方
calm/tranquil,平静
evaluate,评价
destruction,破坏
expect,期待
miracle,奇迹
inspire/motivate,启发
atmosphere,气氛
gasoline,汽油
modest/self-effacing,谦虚
to sign,签
shallow,浅(深)
gun,枪(弹/杀)
to emphasize,强调
rob,抢(劫犯)
quietly/secretly,悄悄
look at,瞧
clever,巧妙
beloved,亲爱
friendly,亲切(冷漠)
hardworking,勤奋
youth,青春
despise,轻视
request/ask,请求
fan (ball sports),球迷
trend,趋势
pass away/die,去世
power/authority,(滥用)权力
persuade,劝(说)
to lack,缺乏
to confirm/verify,确认
crowd/group,(人)群
to burn,燃烧
around,(围/环)绕(過)
love ardently,热爱
enthusiastic,热心
talented people,人才
human beings,人类
life,人生
character,人物
unable to bear,忍不住
schedule,日程
calendar,日历
daily necessities,日用品
how,如何
software,软件(硬件)
sprinkle,洒
throat,嗓子
beach,沙滩
to bask in (sunlight),晒(太阳)
lightning,闪电
be good at,善于
commodity/merchandise,商品
(modern/pro) business (vs commercial/trade),商务(商业)
hurt,伤害
hate to do sth,舍不得
design,设计
shoot a photo/movie,摄影(机/师/家)
stretch/extend,伸(手/出)
profound/deep,深刻
identity,身份
mystery(-ious),神秘
vivid/lively,生动(活跃)
to grow,生长
poetry,诗(人/歌)
insomnia,失眠
lion,狮子
era/epoch,时代
fashionable,(赶)时髦
fashion,时尚
internship,实习
experiment,实验
stone,石头
exert all strength,使劲(儿)
from beginning to end,始终
test paper,试卷
market,市场
thing/object,事物
receipt,收据
by hand/manual,手工(品)
surgery/operation,手术(室/台)
formalities/procedures,手续(续编)
head/chief,首(都/领/先)
injured,受伤
life span,寿命
bookshelf,书架
import/input,输入(输出)
skilled,熟练
mouse (pc),鼠标(键盘)
data,数据
digital,数码
fall down,摔倒
both sides,双方
tax(rate),税(率)
persuade/convince,说服
silk,丝绸
thought,思想
apparently/it seems that,似乎
carry on/take with,随身
crush into pieces,(粉/破)碎(片)
loss/damage,损失
lock,(封)锁(定)
steps (in stairs),台阶
taiji/taichi,太极拳
flee/run away,逃(跑/避)
naughty,淘气
haggle over price,讨价还价(谈判)
cl for a set,套
characteristic,特色
promote/advocate,提倡(者)(促进)
subject/topic,题目
considerate,体贴
to experience oneself,体验
sky,天空
naive,天真(清白)
to adjust,调整
usually/normally,通常
to unify,统一
really happy,痛快
steal,(小)偷
to invest,投资
to highlight/ give prominence,突出
potato,土豆
rabbit,兔子
refuse/reject,推辞(拒绝)
recommend,推荐
retreat,退(出/回)
retire,退休
grandpa (m),外公
complete,完整
toys,玩具
if by any chance,万一
threaten,威胁
protect and maintain,维修
revolve around,围绕
tail,尾巴
to feel wronged,委屈
stomach,胃(口)
be located at,位于
not necessarily,未必
gentle and soft,温柔
stationery,文具
literature,文学
stable/stabilize,稳定
to greet,问候
bedroom,卧室
countless,无数(次/个)
(please do) not,(请)勿
material,(暗/矿)物质
absorb,吸取(吸收)
system,系统(体系)
drama,戏剧(家/性)
scare,吓
summer camp,夏令营
(down)load,(上/下/正/加)载
clearly/obviously,显然
district/county,县
phenomenon,现象
sausage,香肠
quite/fairly,相当
similar,相似
miss,想念(怀念)
enjoy,享受
necklace,(铁/项)链(接)
symbol(-ize),象征
negative/downside,消极(积极)
disappear,消失
mean/stingy,小气
filial/obedient,孝顺
