term,definition
alas,唉
love,爱心
comfort,安慰
bank/shore,岸(边/上)
stay up late,熬夜
contain,包含
valuable,宝贵
preserve,保存
retain,保留
register/check in,报到
report/inform,报告
pessimistic,悲观
background,背景
quilt/blanket,被子
undergraduate,本科
ability,本领
proportion,比例
inevitable,必然
necessary,必要
firecracker,鞭炮
debate,辩论(争论)
sign/symbol,标志
expression,表达
surface,表面
expression,表情
performance,表现
ice cream,冰激凌
glass,玻璃
museum,博物馆
constantly,不断
not necessarily,不见得
impatient,不耐烦
supplement,补充
otherwise,不然
insufficient,不足
department,部门
property,财产
step on,踩
take/adopt,采取
reference/refer to,参考
playground,操场
insert,插
fork,叉子
dismantle/take apart,拆
produce,产生
common sense,常识
moist/damp,潮湿(湿润)
noisy,吵
garage,车库
thorough/complete,彻底
take advantage of,趁
call,称
praise,称赞
take (responsibility),承担
bear/endure,承受
program,程序
establish,成立
adult,成人
idiom,成语
sincere,诚恳
continue,持续(续编)
ruler,尺子
rush,冲(动/击/出)
full/ample/sufficient,充分
repeat,重复
pet,宠物
abstract,抽象
ugly,丑
exit,出口
to show,出示
attend,出席
unless,除非
lunar new year's eve,除夕
handle/deal with,处理
infect/contagious,传染
tradition,传统
break into,闯(进/入)
blow,吹(灯)
besides/moreover,此外
secondary,次要(主要)
hastily/in a hurry,匆忙
thus,从而
before,从前
rough,粗糙
vinegar,醋
urge,促使
measures/step,措施
work/アルバイト,打工
large building,大厦
elephant,大象
representative,代表
(equal/special) treatment,待遇
treat,对待
monotonous,单调
unit,单位
to serve as,担任
delay,耽误
light/faint,淡(水)
be out of luck,倒霉
reasonable/sense,道理
to register,登记
be equal to,等于
drop,滴
enemy,敌人
hand over/deliver,(投)递
carpet,地毯
earthquake,地震
battery,电池
top,(头/屋/山)顶
freeze,冻
anime,动画片
funny,逗(笑/人)
unique,独特
spend time,度过
contrast,对比
opponent,对手
ton,吨
classifier of meals,顿
thanks to,多亏
classifier of flower,朵
publish,发表
to develop/flourishing,发达
play/perform,发挥
invoice,发票
give a speech,发言
fine/penalty,罚款
court,法院
prosperous/booming,繁荣
instead,反而
reaction/to react,反应
anyway,反正
range/scope,范围
plan (A/B),(第一)方案
mode/way/やり方,方式/方法
hinder,妨碍(拦住)
soap,肥皂
distribute,分布
break up,分手
scenery,风景
risk,风险
satire/mock/sarcasm,讽刺
deny,否认
hold up,扶
copy,复制(剪切/粘贴)
to improve,改进
to correct/amend,改正
generalize/summarize,概括
impression/thoughts,感想
hurry up/quickly,赶快(赶紧)
to work (on a job),干活儿
advanced/high grade,高级
farewell,告别
next door,隔壁
personal,个人
each,各自
at all,根本
make public,公开
fair,公平
apartment,公寓
factory,工厂
tool,工具
industry,工业(行业)
function(ality),功能
communicate(-ation),沟通
girl,姑娘
ancient,古代
to applaud/clap,鼓掌
bone,骨头
well-behaved,乖
no wonder,怪不得(难怪)
observe/watch,观察
concept,观念
champion,冠军
smooth/glossy,光滑
light/radiance,光明
vast,广大
law,规律
rule,规则
to roll/rolling,滚(滚蛋)
national day,国庆节
fruit,果实
allergy,过敏
seafood,海鲜
luxurious,豪华
be curious,好奇
why should/no need,何必
legal/legitimate,合法(非法)
reasonable/rational,合理
contract,合同
cooperation,合作
hate,(怨)恨
monkey,猴子
back,后背
ignore,忽视
pot,(酒/水/茶)壶
talk nonsense,胡说(八道)
confused,糊涂
peanut,花生
to row/paddle (a boat),划
topic of conversation,话题
miss/think of,怀念
become pregnant,怀孕
panic,慌张
gold,黄金
ash,灰
be discouraged,灰心
wedding,婚礼
lively,活跃
partner,伙伴
maybe/probably,或许
basic/fundamental,基本
machine,机器
pass (an exam/test),及格
gather/assemble,集合
concentrate/focus,集中
emergency,急诊(紧急)
remember/memories,记忆
record,(创/破)纪录
commemorate,纪念(品)
housework,家务
honored guest,嘉宾
A(B),甲(乙)[方]
if,假如(假设)
feign/pretend,假装
drive (ship/plane),驾驶(员/证)
staunch/strong,坚强
difficult (task),艰苦(艰巨)
pick up/collect,捡
simply,简直
workout,健身(房)
build/construct,建设
architecture,建筑(师/学)
keyboard,键盘(鼠标)
lecture,讲座
soy sauce,酱油
to pour liquid,浇(水/油)
exchange/swap,交换
hang out with,交往
angle,角度
teaching material,教材
lesson,教训
receive (a visitor),接待(室/员)(招待)
strong/durable,结实(单弱)
use sparingly,节约/节省(用)
structure,(数据)结构
combine,结合(组合)
conclusion,结论
pay the bill/checkout,结账
session (cl for meeting),届
excuse,借口
ring/guard against,戒(指/备)
urgent/emergency,紧急(迫切)(急诊)
as soon as possible,尽快
cautious/careful,谨慎
progress,进步
modern times,近代(现代)
as much as possible,尽量
spirit/mind,精神
classic (example/case),经典
save,救
