"挨(打/骂/批/饿)(饥饿)";"suffer (beating/scolding/hunger)"
"癌症";"cancer"
"爱不释手(喜欢)";"love so much that one cannot bear to part with it"
"爱戴(拥护/拥戴)";"(to) love and respect"
"暧昧(不明)(模糊/渺茫)";"ambiguous (in love friends or lovers)"
"(安静)安宁(安静/安详)";"peaceful/calm/serene"
"(安静/安宁)安详";"serene/calm/composed"
"安置";"to find a place for/help settle down"
"暗示";"(to) hint/suggest secretly"
"案件";"case/instance/situation (e.g. law/accident/murder case)"
"案例";"case/example"
"按摩";"(to) massage"
"昂贵";"expensive"
"凹凸";"concave-convex/bumps and holes/rugged"
"熬(夜)(煎熬/熬煎)";"to boil/stew"
"奥秘(秘密/隐秘)";"secret"
"扒手(扒窃/偷盗/盗窃/偷窃)";"a pickpocket (to steal)"
"(伤)疤(结疤)";"scar(form a scar)"
"巴不得";"eagerly look forward to"
"巴结";"to fawn on"
"拔苗助长";"to pull shoot/seed to help grow (eager for success and make it against the natural rules resulting in bad result)"
"把关";"to oversee/be responsible for overseeing sth to maintain the quality"
"把手";"handle/knob (hold hands)"
"霸道(霸王之道 x 王道)";"overbearing"
"罢工 (罢了/而已)";"a strike/to go on strike"
