"保姆(阿姨)(女仆/管家)";"nanny/babysitter (female servant/maid)"
"保守";"conservative (to guard/keep)"
"保卫(防御)(进攻/攻击)";"to defend"
"保养(爱护)(保重)";"to take good care of (one's health/skin/car/cat etc)"
"保障(保险)";"guarantee/ensure"
"保重(保养)";"take care of oneself"
"抱负(理想/愿望/梦想)";"ambition"
"报仇(报复)";"revenge"
"报酬(工资/薪金)";"remuneration/reward"
"报答(报偿)(偿还/偿付/归还)";"to repay/pay back"
"报复(报仇)";"to payback/revenge"
"报警";"to call the police"
"(申请)报销";"(to apply for) reimbursement"
"爆发(火山)(爆炸) (拆除 炸弹)";"to erupt/burst(explode)"
"爆炸(爆发) (拆除 炸弹)";"to blast/explode"
"曝光(丑闻)";"to expose (secret/photo/scandal)"
"暴力(和平)";"violence"
"暴露(曝光)";"to expose/reveal/lay bare"
"悲哀(伤心/难受)(快乐)";"grief/sorrow"
"悲惨(幸福)";"miserable/tragic"
"卑鄙(高尚/崇高)";"despicable/mean"
"北极(浮冰)";"North Pole/Arctic"
"被动(主动)";"passive"
"被告(原告)";"Defendant"
"背叛";"to betray/sellout"
