"闭塞(堵塞/阻塞)";"occlusion/to clog up/blockage"
"鞭策(鼓励/勉励)";"to spur/urge on/encourage sb"
"编织";"to weave/knit"
"边疆(边境/边界)";"border area/border land/frontier"
"(无限/有限)边界(边境/边疆)";"boundary"
"边境(边疆/边界)";"borderfrontier"
"边缘";"edge"
"扁(扁豆/扁担/平坦/扁平/扁圆)";"flat"
"贬低(吹捧)(升级/降级)";"to belittle/degrade"
"贬义(褒义)";"derogatory sense/negative connotation"
"遍布";"all over(cover the whole area/be found throught)"
"便利";"facilitate"
"便条(备忘录)";"note"
"便于(容易/方便)";"easy to/convenient for"
"变故";"misfortune/unforseen event"
"变迁(变化)";"changes"
"变质(质变/量变)";"to rot/go bad/deteriorate"
"辩护";"to speak in defense of"
"辩解";"to explain/justify/provide an explanation/defend oneself"
"辩证(法)";"dialectical"
"辨认(识别/分辨)(二维码/条码)";"to distinguish/recognize/identify"
"辫子";"plait/braid/pigtail"
"标本";"specimen/sample"
"标记(标志/符号)";"sign/mark/symbol"
"标题";"title/heading/headline"
