"发扬";"to promote (making the good stuff even better and well-appreciated)"
"发育 (生长)";"growth/to mature or develop"
"法人";"legal person/corporation"
"番 (轮到) (三番五次)";"(turn/time) (to be sb's turn) (over and over again)"
"繁华 (热闹) (忙碌)";"flourishing/bustling (busy/bustling)"
"繁忙 (忙.../忙于...) (忙碌)";"busy (busy/bustling)"
"繁体字 (简体字)";"traditional Chinese character"
"繁殖(力/期) (生殖) (蜘蛛)";"reproduction (spider)"
"凡是";"all/each and every"
"反驳 (辩论/争辩/答辩)";"to retort/refute"
"反常";"abnormal/unusual"
"反感 (好感)";"be displeased with/to dislike (favorable impression)"
"反抗 (抵抗/对抗) (抗议)";"to resist/rebel"
"反馈";"feedback"
"反面 (人物) (正面)";"reverse side/bad (villain)"
"反射 (反映)(反思)";"to reflect/echo (physical/machanical reflection)"
"反思 (思考) (反映)(反射)";"to reflect/ponder"
"反问";"rhetorical question"
"反之 (相反)";"on the contrary.../whereas..."
"范畴 (类别) (种类/类型))";"category (kind or sort/type)"
"泛滥";"flood/to flood"
"贩卖 (机/人口)";"to sell/traffic/trafficking"
"方位 (方面/方向) (指南针)";"direction/position eg compass"
"方言";"dialect"
"方圆";"perimeter/circumference/(within) a radius of..."
