"共计 (一共/一起) (总共/总计)";"in total"
"共鸣 (同感) (...引起了...的共鸣)";"resonance (to resonate with)"
"勾结 (串通) (分裂)";"to collude with/to collaborate with/to gang up with (to split up)"
"钩子";"hook"
"构思";"to design/plan something creative (to create)"
"孤独 (孤单) (热闹)";"loneliness"
"孤立 (隔离) (隔绝)";"isolated/to isolate"
"辜负";"to fail to live up (to expectations)/to let down/disappoint"
"姑且";"for the time being/tentatively"
"古董 (董事长)";"antique (chairman of the board)"
"古怪 (奇怪/奇妙)(平常)";"oddly/queer (things that catch your attention because they're a bit quirky or out of the ordinary)"
"股东 (董事)";"stockholder/shareholder (board member)"
"股份 (股票)";"shares (in a company) (stocks)"
"鼓动 (压制) (动员)";"to encite/agitate/arouse"
"骨干 (脊梁骨)";"main supporting part/fig. backbone (backbone)"
"固然 (当然)";"indeed/of course"
"固体 (流体/液体) (气体)";"solid (liquid) (gas)"
"固有 (继承)";"native/inherent (quality) (to inherit/succeed to the throne etc/carry on a tradition etc)"
"固执 (顽固/倔强) (专横)";"stubborn (arrogant and domineering)"
"顾虑 (担心/操心)";"concern/to be concerned about"
"顾问 (参谋)(谋臣) (谋士)";"consultant/adviser (to give advice) (imperial strategic adviser) (tatician/strategist/skilled manipulator)"
"故乡 (家乡)";"hometown/homeland"
"故障 (排查故障)";"fault/defect/bug (in software) (to troubleshoot)"
"雇佣 (录取 )";"to hire/employ (to accept an applicant or an employee/to hire a job candidate)"
"拐杖 (手杖)";"crutch/walking stick (cane/stick)"
