"无比";"extremely"
"无偿";"for free"
"无耻";"shameless"
"无动于衷";"Completely indifferent"
"无非";"Nothing more than"
"无精打采";"Be in the blues"
"无赖";"Rogue"
"无理取闹";"Make trouble out of nothing"
"无能为力";"Incapable of action"
"无辜";"innocent"
"无穷无尽";"Inexhaustible"
"无微不至";"Considerate right down to the most trivial detail"
"无忧无虑";"Be light of heart from care"
"无知";"ignorance"
"舞蹈";"Dance"
"武器";"arms"
"武侠";"Martial arts"
"武装";"Armed forces"
"侮辱";"insult"
"务必";"must"
"误差";"error"
"误解";"misunderstand"
"物业";"property"
"物美价廉";"High quality and inexpensive"
"物资";"goods and materials"
